round,client_id,client_name,tau,head_prefixes,num_head_params,num_selected_params,selected_ratio,mask_jaccard_with_prev_round,mask_hamming_change_rate,selected_importance_mean,unselected_importance_mean,selected_importance_median,unselected_importance_median,selected_importance_min,selected_importance_max,unselected_importance_min,unselected_importance_max,importance_threshold,importance_gap_mean_ratio,importance_gap_median_ratio,importance_gap_boundary_ratio,importance_selected_total,importance_unselected_total,importance_selected_share,importance_top10_mean,importance_bottom10_mean
8,6,client_6,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,8.186840875403746e-08,,7.329069466664555e-15,,0.0,5.461767614178825e-06,,,0.0,,,,2.8899548851768486e-05,0.0,0.9999999653973849,7.684840852562047e-07,0.0
8,7,client_7,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,1.0211760752935902e-07,,1.0882249013586046e-14,,0.0,6.273867711570347e-06,,,0.0,,,,3.6047516914550215e-05,0.0,0.9999999722588389,9.513136660643795e-07,0.0
8,8,client_8,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,1.2718446446306134e-07,,4.647101253070149e-14,,0.0,5.8008668020193e-06,,,0.0,,,,4.489611819735728e-05,0.0,0.9999999777263598,1.1790725693572313e-06,0.0
8,9,client_9,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,1.704637361747514e-07,,0.0,,0.0,1.2388483810354955e-05,,,0.0,,,,6.017369742039591e-05,0.0,0.9999999833814436,1.6270570313281496e-06,0.0
9,1,client_1,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,9.930337626653636e-08,,4.860399734595011e-13,,0.0,7.281254966073902e-06,,,0.0,,,,3.5054090403718874e-05,0.0,0.9999999714726595,9.385155408381252e-07,0.0
9,2,client_2,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,8.446835539068229e-08,,1.4591980577950865e-14,,0.0,7.5674743129638955e-06,,,0.0,,,,2.9817329050274566e-05,0.0,0.9999999664624566,7.738154863545788e-07,0.0
9,3,client_3,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,1.0449834459038534e-07,,1.238528458393992e-13,,0.0,4.660236299969256e-06,,,0.0,,,,3.688791548484005e-05,0.0,0.9999999728908516,9.786326700123027e-07,0.0
9,4,client_4,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,1.2757045637232692e-07,,2.161398698907746e-10,,0.0,8.66767641127808e-06,,,0.0,,,,4.503236777964048e-05,0.0,0.9999999777937508,1.1661197731882567e-06,0.0
9,5,client_5,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,1.3445155607070602e-07,,1.6693301607565228e-14,,0.0,1.6780622900114395e-05,,,0.0,,,,4.746140621136874e-05,0.0,0.9999999789302496,1.2917921594635118e-06,0.0
9,6,client_6,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,7.947818858203068e-08,,9.631241489830699e-15,,0.0,4.939987775287591e-06,,,0.0,,,,2.805579970299732e-05,0.0,0.9999999643567471,7.122111469470838e-07,0.0
9,7,client_7,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,7.608343047470564e-08,,8.706564314554268e-16,,0.0,6.777422640880104e-06,,,0.0,,,,2.6857451302930713e-05,0.0,0.9999999627663865,7.109425155249482e-07,0.0
9,8,client_8,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,5.4230505645117156e-08,,1.0561342137659061e-16,,0.0,2.268809112138115e-06,,,0.0,,,,1.9143368263030425e-05,0.0,0.9999999477625915,4.997490350433509e-07,0.0
9,9,client_9,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,1.4893547116838996e-07,,0.0,,0.0,7.537479177699424e-06,,,0.0,,,,5.257422162685543e-05,0.0,0.9999999809792717,1.434342948414269e-06,0.0
10,1,client_1,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,7.301280991887103e-08,,6.430333204793378e-15,,0.0,5.043509190727491e-06,,,0.0,,,,2.5773520974325947e-05,0.0,0.999999961200491,6.974115080993215e-07,0.0
10,2,client_2,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,1.2466031631469237e-07,,2.5890419653686785e-15,,0.0,1.8972741600009613e-05,,,0.0,,,,4.400509351398796e-05,0.0,0.9999999772753584,1.1729911193469889e-06,0.0
10,3,client_3,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,1.199287946031457e-07,,1.8787353823942728e-15,,0.0,6.026445589668583e-06,,,0.0,,,,4.233486470184289e-05,0.0,0.9999999763788078,1.132218244492833e-06,0.0
10,4,client_4,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,2.5147437623236036e-07,,8.213436042403544e-10,,0.0,1.1805414942500647e-05,,,0.0,,,,8.877045183908194e-05,0.0,0.9999999887349905,2.3462785065930802e-06,0.0
10,5,client_5,1.0,"fc1,fc2",353,353,1.0,1.0,0.0,1.8978078033687942e-07,,1.1595510470996948e-16,,0.0,1.7149528503068723e-05,,,0.0,,,,6.69926157570444e-05,0.0,0.999999985072982,1.8386557485428057e-06,0.0
